teamname,hdeshpa
commit used,c9646aa82a0647ea66cdbba7768f996292b11d61
commit date,2021-02-12 23:26:01
test_question1_case1_points,10
test_question1_case1_status,passed
test_question1_case2_points,10
test_question1_case2_status,passed
test_question1_case3_points,7.5
test_question1_case3_status,passed
test_question1_case4_points,7.5
test_question1_case4_status,passed
test_question1_case5_points,7.5
test_question1_case5_status,passed
test_question1_case6_points,7.5
test_question1_case6_status,passed
test_question2_case1_points,10
test_question2_case1_status,passed
test_question2_case2_points,10
test_question2_case2_status,passed
test_question2_case3_points,7.5
test_question2_case3_status,passed
test_question2_case4_points,7.5
test_question2_case4_status,passed
test_question2_case5_points,7.5
test_question2_case5_status,passed
test_question2_case6_points,7.5
test_question2_case6_status,passed
Total,100.0
Late Penalty,0
Total Autograding,100.0
